"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","wt1 Area","wt3 Area","wt2 Area","php1 Area","php3 Area","php2 Area","Sample Profile (Ratio)","WT Area","PHP Area","Group Profile (Ratio)","Avg. Mass","Description"
1856,true,"G3V6N2|G3V6N2_RAT",8.66,14.98,6,5,"",1.3474753E7,1.259661E7,1.2036009E7,1.0890388E7,1.2420176E7,1.1381719E7,1.00:0.93:0.89:0.81:0.92:0.84,1.2702458E7,1.1564094E7,1.00:0.91,26117,"Transmembrane emp24 protein transport domain containing 4 (Predicted), isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Tmed4 PE=1 SV=3"
1771,true,"A0A0G2K8V3|A0A0G2K8V3_RAT",4.60,4.46,6,6,"Carbamidomethylation",985165.3,1273115.8,1187090.0,1176628.8,1363407.9,1230097.9,1.00:1.29:1.20:1.19:1.38:1.25,1148457.0,1256711.5,1.00:1.09,185059,"THO complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Thoc2 PE=1 SV=1"
1817,true,"P13233|CN37_RAT",7.24,16.19,6,6,"Carbamidomethylation",698266.8,693950.5,672671.4,694234.5,720558.75,793917.8,1.00:0.99:0.96:0.99:1.03:1.14,688296.25,736237.0,1.00:1.07,47268,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2"
4261,true,"G3V9I5|G3V9I5_RAT",0.06,3.10,1,1,"",663059.3,0.0,0.0,0.0,0.0,460179.25,1.00:0.00:0.00:0.00:0.00:0.69,663059.3,460179.25,1.00:0.69,33574,"Arylamine N-acetyltransferase OS=Rattus norvegicus OX=10116 GN=Nat3 PE=3 SV=1"
793,true,"Q6AYH5|DCTN2_RAT",0.36,52.49,14,14,"Carbamidomethylation",4.0529068E7,4.0034664E7,3.8860384E7,3.9500796E7,3.826022E7,4.1380952E7,1.00:0.99:0.96:0.97:0.94:1.02,3.980804E7,3.9713992E7,1.00:1.00,44148,"Dynactin subunit 2 OS=Rattus norvegicus OX=10116 GN=Dctn2 PE=1 SV=1"
2576,true,"Q498C9|Q498C9_RAT",5.40,4.53,3,3,"",3170198.0,3186491.5,4662297.0,3232802.2,5700002.5,6183884.5,1.00:1.01:1.47:1.02:1.80:1.95,3672995.5,5038896.5,1.00:1.37,49778,"RCG33491, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Zfp207 PE=1 SV=1"
3591,true,"Q5U2V5|CRLS1_RAT",4.27,6.29,1,1,"",0.0,0.0,29315.607,0.0,0.0,0.0,-:-:64.00:-:-:-,29315.607,0.0,1.00:0.00,32628,"Cardiolipin synthase (CMP-forming) OS=Rattus norvegicus OX=10116 GN=Crls1 PE=2 SV=1"
4190,true,"M0R9C6|M0R9C6_RAT",9.06,1.70,1,1,"",212066.53,99828.57,54548.355,234829.88,183051.02,316998.88,1.00:0.47:0.26:1.11:0.86:1.49,122147.82,244959.92,1.00:2.01,72371,"RNA helicase OS=Rattus norvegicus OX=10116 GN=Ddx43 PE=3 SV=1"
1671,true,"F1MA31|F1MA31_RAT",4.71,10.73,6,6,"Carbamidomethylation",7801105.0,9008257.0,1.0069362E7,9099114.0,1.02225E7,9929723.0,1.00:1.15:1.29:1.17:1.31:1.27,8959575.0,9750446.0,1.00:1.09,94601,"Lysine-specific histone demethylase OS=Rattus norvegicus OX=10116 GN=Kdm1a PE=1 SV=3"
1139,true,"Q9Z2F5|CTBP1_RAT",0.24,27.21,10,8,"Carbamidomethylation",1.5887509E7,1.7431188E7,1.5489672E7,1.5391568E7,1.724286E7,1.5995639E7,1.00:1.10:0.97:0.97:1.09:1.01,1.6269457E7,1.6210022E7,1.00:1.00,46628,"C-terminal-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Ctbp1 PE=1 SV=3"
